startDate,endDate,countryName,ISO,location,disasterType,disasterSubtype,totalDeaths,totalAffected,disasterID
25/10/2015,25/10/2015,Pakistan,PAK,"Islamabad District district (Islamabad province), Chakwal District, Gujranwala District, Jhang District, Jhelum District, Kasur District, Mianwali District, Multan District, Muzaffargarh District, Narowal District, Rawalpindi District, Sahiwal District, Sargodha District, Sheikhupura District districts (Punjab province), Azad area (Jammu and Kashmir province), North-West Frontier province",Earthquake,Ground movement,280,502590,2015-0476
17/11/2015,17/11/2015,Kyrgyzstan,KGZ,"Chong-Alay, Alay, Kara-Suu, Kara-Kulja, Aravan districts (Osh province)",Earthquake,Ground movement,,16780,2015-0512
7/12/15,7/12/15,Tajikistan,TJK,"Murgabskiy, Rushanskiy, Shugnanskiy, Vanchskiy, Kalay-Humbskiy districts (Badakhshoni Kuni province)",Earthquake,Ground movement,2,7976,2015-0528
17/11/2015,00/03/2016,Ecuador,ECU,"Cotaló, Chacauco, Pillate, Chontapamba, Chonglontus, Cúsua, Juive, Bilbao, Pelileo, Quero, Mocha, Cevallos , Ambato, Tungurahua, Chimborazo provinces",Volcanic activity,--,,130042,2015-0550
25/12/2015,25/12/2015,Afghanistan,AFG,"Ashkasham town (Eshkmesh district, Badakhshan province)",Earthquake,Ground movement,,507,2015-0571
25/12/2015,25/12/2015,Pakistan,PAK,Khyber Agency district (Federally Administrered Tribal Areas province),Earthquake,Ground movement,3,85,2015-0571
4/11/15,4/11/15,Timor-Leste,TLS,Dili province,Earthquake,Ground movement,,2003,2015-0608
4/1/16,4/1/16,Bangladesh,BGD,"Dhaka and Jamalpur, Rajshahi, Lalmonirhat and Panchagarh districts",Earthquake,Ground movement,5,70,2016-0002
4/1/16,4/1/16,India,IND,"Guwahati city (Kamrup district, Assam province), Imphal East, Imphal West, Senapati, Thoubal, Bishnupur, Tamenglong districts (Manipur province)",Earthquake,Ground movement,8,10808,2016-0002
6/2/16,6/2/16,Taiwan (Province of China),TWN,Tainan city (near Kaohsiung city),Earthquake,Ground movement,149,525,2016-0043
10/4/16,10/4/16,Pakistan,PAK,"North-West Frontier, Gilgit-Baltistan provinces",Earthquake,Ground movement,5,242,2016-0100
14/04/2016,14/04/2016,Japan,JPN,Kumamoto province,Earthquake,Ground movement,9,800,2016-0107
16/04/2016,16/04/2016,Ecuador,ECU,"Guayaquil district (Guayas province), Muisne district (Esmeraldas province), Portoviejo district (Manabi province), Santo Domingo de los Tsachilas, Los Ríos, Santa Elena provinces",Earthquake,Ground movement,480,89605,2016-0117
16/04/2016,16/04/2016,Japan,JPN,Kumamoto province,Earthquake,Ground movement,32,200,2016-0121
18/05/2016,18/05/2016,Ecuador,ECU,"Esmeraldas, Manabi provinces",Earthquake,Ground movement,1,85,2016-0151
