startDate,endDate,countryName,ISO,location,disasterType,disasterSubtype,totalDeaths,totalAffected,disasterID
00/07/1991,00/00/1993,Lao People's Democratic Republic (the),LAO,Whole country,Drought,Drought,,,1991-9195
00/00/1991,00/00/1992,Kenya,KEN,Northeastern regions,Drought,Drought,,2700000,1991-9224
00/02/1991,00/08/1991,China,CHN,"Jiangxi, Hunan provinces",Drought,Drought,2000,5000000,1991-9305
00/07/1991,00/00/1991,France,FRA,"Limousin, Poitou-Charente, Aquitaine, Midi Pyrenees, Normandie",Drought,Drought,,,1991-9316
00/03/1991,00/00/1991,Mali,MLI,,Drought,Drought,,302000,1991-9346
00/10/1991,00/00/1992,Sudan (the),SDN,"West, Central, Eastern, Northern and South regions",Drought,Drought,,8600000,1991-9686
00/00/1991,00/00/1991,Australia,AUS,"Western, South",Drought,Drought,,,1991-9697
00/03/1992,00/03/1992,Nepal,NPL,Terai,Wildfire,Forest fire,56,50000,1992-0138
1/7/92,18/08/1992,Poland,POL,"Gdansk, Szczecin, Bydgoszcz, Katowice, Liegnit",Wildfire,Forest fire,35,,1992-0218
7/7/92,7/7/92,Russian Federation (the),RUS,,Wildfire,Forest fire,31,,1992-0281
00/00/1992,00/00/1993,China,CHN,Hunnan provinces,Drought,Drought,,,1992-9090
00/05/1992,00/00/1992,China,CHN,North and Central,Drought,Drought,,12000000,1992-9128
00/05/1992,00/08/1992,Hungary,HUN,Entire country,Drought,Drought,,,1992-9195
00/05/1992,00/07/1992,Denmark,DNK,,Drought,Drought,,,1992-9200
00/06/1992,00/07/1992,Lithuania,LTU,,Drought,Drought,,,1992-9205
00/04/1992,00/00/1995,Malawi,MWI,"Dedza, Dowa, Mzimba, Nkhotakota, Ntcheu, Salima districts",Drought,Drought,,7000000,1992-9231
00/00/1992,00/00/1992,Cabo Verde,CPV,,Drought,Drought,,,1992-9248
00/12/1992,00/12/1995,Australia,AUS,Queensland,Drought,Drought,,7000000,1992-9543
00/01/1994,00/08/1994,New Zealand,NZL,,Drought,Drought,,,1992-9543
00/03/1993,00/10/1993,India,IND,"Bihar, Orissa, Andhra Pradesh, Maharashtra, Gujarat, Madhya Prasdesh, Uttar Pradesh, Karnataka",Drought,Drought,,1175000,1993-9472
00/12/1993,00/00/1993,Chad,TCD,,Drought,Drought,,300000,1993-9501
00/12/1993,00/00/1993,Macedonia (the former Yugoslav Republic of),MKD,,Drought,Drought,,10000,1993-9509
00/00/1993,00/00/1993,Mauritania,MRT,"E.Trarza, N. Brakna, Gorgol, N.W. Assaba, Tagnat",Drought,Drought,,446507,1993-9511
00/00/1993,00/00/1993,Russian Federation (the),RUS,,Drought,Drought,,,1993-9521
00/00/1993,00/00/1993,Thailand,THA,"North, Central",Drought,Drought,,,1993-9522
00/11/1993,00/00/1993,Eritrea,ERI,,Drought,Drought,,1600000,1993-9573
6/1/94,6/1/94,Australia,AUS,Nouvelle Galle du Sud,Wildfire,"Land fire (Brush, Bush, Pastur",4,26020,1994-0001
6/6/94,6/6/94,Spain,ESP,Palma de Mallorca,Wildfire,Forest fire,,1500,1994-0139
4/7/94,4/7/94,Spain,ESP,Teruel,Wildfire,Forest fire,20,15020,1994-0155
18/08/1994,18/08/1994,Italy,ITA,Sicily,Wildfire,Forest fire,1,300,1994-0197
20/09/1994,20/09/1994,Australia,AUS,New South Wales & Queenland,Wildfire,"Land fire (Brush, Bush, Pastur",,20141,1994-0210
00/08/1994,00/08/1994,Algeria,DZA,,Wildfire,Forest fire,22,,1994-0306
00/10/1994,00/10/1994,Indonesia,IDN,,Wildfire,Forest fire,,3000000,1994-0359
00/01/1994,00/12/1994,China,CHN,"Xuwen, Leizhou, Yangjiang, Maoming, Suixi, Hanwei, Chaozhou, Meizhou, Jieyang (Guangdong province)",Drought,Drought,,82000000,1994-9096
00/03/1994,00/00/1995,China,CHN,"Anhui, Jiangsu, Sichuan Provinces",Drought,Drought,,6690000,1994-9186
00/06/1994,00/00/1996,Cambodia,KHM,"Prey Veng, Kompong Speu, Kompong Chhnang, Takeo provinces",Drought,Drought,,5000000,1994-9223
00/03/1994,00/00/1995,Kenya,KEN,Northern & northeastern districts,Drought,Drought,,1200000,1994-9422
2/7/95,2/7/95,Israel,ISR,Jerusalem area,Wildfire,Forest fire,,240,1995-0145
22/07/1995,22/07/1995,Greece,GRC,Mount Penteli (Athens),Wildfire,Forest fire,,2014,1995-0159
6/4/95,6/4/95,China,CHN,Hongqing,Wildfire,Forest fire,29,,1995-0321
3/5/95,3/5/95,Malaysia,MYS,Palau Gaya (Borneo),Wildfire,Forest fire,,3000,1995-0370
00/01/1995,00/01/1995,Central African Republic,CAF,,Wildfire,Forest fire,,85,1995-0469
00/12/1995,00/00/1996,Burkina Faso,BFA,"Bam, Kadigo, Outbritenga, Oudalan, Sanmatenga, Seno, Soum, Yatenga provinces",Drought,Drought,,75590,1995-9026
00/01/1995,00/08/1995,China,CHN,Nord-East provinces,Drought,Drought,,9060000,1995-9138
